Stichdatum;PLZ;Geschlecht;Nachname;Anzahl;Rang;ORTBEZ18
2022-07-01;8587;m;Sulejmani;7;2;Oberaach
2022-07-01;8587;m;Correia;6;4;Oberaach
2022-07-01;8588;w;Müller;16;3;Zihlschlacht
2022-07-01;8588;m;Keller;34;1;Zihlschlacht
2022-07-01;8588;m;Huber;15;3;Zihlschlacht
2022-07-01;8589;w;Alili;7;3;Sitterdorf
2022-07-01;8590;w;Müller;81;1;Romanshorn
2022-07-01;8592;w;Hausammann;10;4;Uttwil
2022-07-01;8593;w;Vogel;6;3;Kesswil
2022-07-01;8593;m;Roth;20;1;Kesswil
2022-07-01;8594;w;Rutishauser;18;2;Güttingen
2022-07-01;8594;m;Rutishauser;16;2;Güttingen
2022-07-01;8595;w;Stäheli;9;4;Altnau
2022-07-01;8596;w;Müller;9;1;Münsterlingen/Scherzingen
2022-07-01;8597;w;Wüest;6;4;Landschlacht
2022-07-01;8597;w;Walther;6;4;Landschlacht
2022-07-01;8597;m;Keller;10;2;Landschlacht
2022-07-01;8597;m;Leuch;7;3;Landschlacht
2022-07-01;8597;m;Walther;7;3;Landschlacht
2022-07-01;8597;m;Frei;6;5;Landschlacht
2022-07-01;8598;w;Rutishauser;14;2;Bottighofen
2022-07-01;8598;w;Mazouzi;9;5;Bottighofen
2022-07-01;8598;m;Müller;25;1;Bottighofen
2022-07-01;8598;m;Widmer;9;5;Bottighofen
2022-07-01;8602;m;Fischer;12;4;Wangen ZH
2022-07-01;8604;w;Schmid;57;1;Volketswil
2022-07-01;8604;w;Meier;54;2;Volketswil
2022-07-01;8604;m;Gashi;36;4;Volketswil
2022-07-01;8605;w;Müller;10;3;Gutenswil
2022-07-01;8605;m;Kägi;9;5;Gutenswil
2022-07-01;8606;w;Huber;24;4;Nänikon/Greifensee
2022-07-01;8606;m;Keller;27;5;Nänikon/Greifensee
2022-07-01;8607;w;Fischer;8;3;Aathal-Seegräben
2022-07-01;8607;m;Streiff;7;5;Aathal-Seegräben
2022-07-01;8607;m;Fischer;7;5;Aathal-Seegräben
2022-07-01;8608;w;Schneider;16;4;Bubikon
2022-07-01;8608;m;Schmid;21;3;Bubikon
2022-07-01;8610;w;Huber;69;5;Uster
2022-07-01;8610;m;Huber;84;4;Uster
2022-07-01;8614;w;Heusser;10;2;Bertschikon Gossau/Sulzbach
2022-07-01;8614;w;Schneider;9;4;Bertschikon Gossau/Sulzbach
2022-07-01;8614;w;Vontobel;8;5;Bertschikon Gossau/Sulzbach
2022-07-01;8614;m;Schmid;10;1;Bertschikon Gossau/Sulzbach
2022-07-01;8614;m;Weber;8;4;Bertschikon Gossau/Sulzbach
2022-07-01;8615;w;Wegmann;8;2;Freudwil/Wermatswil
2022-07-01;8615;w;Frei;7;3;Freudwil/Wermatswil
2022-07-01;8616;w;Michel;6;1;Riedikon
2022-07-01;8616;w;n/a;4;5;Riedikon
2022-07-01;8617;w;Müller;26;1;Mönchaltorf
2022-07-01;8617;w;Bühler;13;3;Mönchaltorf
2022-07-01;8617;w;Kunz;13;3;Mönchaltorf
2022-07-01;8617;m;Weber;14;5;Mönchaltorf
2022-07-01;8618;m;Keller;14;3;Oetwil am See
2022-07-01;8620;w;Keller;48;3;Wetzikon ZH
2022-07-01;8620;m;Müller;54;1;Wetzikon ZH
2022-07-01;8623;w;Weber;22;2;Wetzikon ZH
2022-07-01;8624;w;Weber;14;2;Grüt (Gossau ZH)
2022-07-01;8624;m;Moser;11;3;Grüt (Gossau ZH)
2022-07-01;8624;m;Meier;11;3;Grüt (Gossau ZH)
2022-07-01;8625;w;Müller;15;5;Gossau ZH
2022-07-01;8625;w;Meyer;15;5;Gossau ZH
2022-07-01;8625;m;Huber;26;1;Gossau ZH
2022-07-01;8625;m;Meier;19;4;Gossau ZH
2022-07-01;8626;w;Heusser;10;2;Ottikon
2022-07-01;8626;w;Kägi;8;5;Ottikon
2022-07-01;8626;m;Reiser;15;1;Ottikon
2022-07-01;8626;m;Heusser;8;3;Ottikon
2022-07-01;8626;m;Pfeiffer;8;3;Ottikon
2022-07-01;8626;m;Graf;7;5;Ottikon
2022-07-01;8627;w;Schmid;20;2;Grüningen
2022-07-01;8627;w;Schneider;13;5;Grüningen
2022-07-01;8627;m;Kunz;25;2;Grüningen
2022-07-01;8630;w;Weber;32;4;Rüti ZH
