Stichdatum;PLZ;Geschlecht;Vorname;Anzahl;Rang;ORTBEZ18
2022-07-01;8268;m;Peter;10;5;Mannenbach-Salenst/Salenstein
2022-07-01;8268;m;Urs;10;5;Mannenbach-Salenst/Salenstein
2022-07-01;8268;m;Heinz;10;5;Mannenbach-Salenst/Salenstein
2022-07-01;8268;m;Andreas;10;5;Mannenbach-Salenst/Salenstein
2022-07-01;8269;m;Michael;8;2;Fruthwilen
2022-07-01;8273;w;n/a;4;3;Triboltingen
2022-07-01;8274;w;Ursula;40;1;Tägerwilen/Gottlieben
2022-07-01;8274;w;Maria;33;3;Tägerwilen/Gottlieben
2022-07-01;8274;m;Markus;59;3;Tägerwilen/Gottlieben
2022-07-01;8274;m;Peter;52;5;Tägerwilen/Gottlieben
2022-07-01;8280;m;Thomas;189;3;Kreuzlingen
2022-07-01;8303;w;Ursula;78;2;Bassersdorf
2022-07-01;8305;m;Daniel;86;1;Dietlikon
2022-07-01;8306;w;Anna;22;5;Brüttisellen
2022-07-01;8306;m;Daniel;35;1;Brüttisellen
2022-07-01;8306;m;Martin;28;5;Brüttisellen
2022-07-01;8306;m;Markus;28;5;Brüttisellen
2022-07-01;8307;w;Maria;88;1;Effretikon/Ottikon b.Kemptth.
2022-07-01;8307;w;Ursula;76;2;Effretikon/Ottikon b.Kemptth.
2022-07-01;8307;m;Peter;141;1;Effretikon/Ottikon b.Kemptth.
2022-07-01;8307;m;Thomas;80;5;Effretikon/Ottikon b.Kemptth.
2022-07-01;8308;w;Ursula;34;1;Illnau/Agasul
2022-07-01;8308;m;Daniel;44;3;Illnau/Agasul
2022-07-01;8310;m;Daniel;13;4;Grafstal/Kemptthal
2022-07-01;8311;w;Ursula;17;2;Brütten
2022-07-01;8311;w;Marianne;15;3;Brütten
2022-07-01;8311;m;Peter;27;1;Brütten
2022-07-01;8312;w;Andrea;7;5;Winterberg ZH
2022-07-01;8312;m;Thomas;9;5;Winterberg ZH
2022-07-01;8314;m;n/a;5;2;Kyburg
2022-07-01;8315;m;Peter;14;1;Lindau
2022-07-01;8317;w;Claudia;16;1;Tagelswangen
2022-07-01;8317;w;Maria;12;5;Tagelswangen
2022-07-01;8317;m;Michael;21;4;Tagelswangen
2022-07-01;8320;m;Marco;55;3;Fehraltorf
2022-07-01;8322;w;Claudia;10;2;Madetswil/Gündisau
2022-07-01;8322;w;Andrea;7;5;Madetswil/Gündisau
2022-07-01;8322;m;Markus;10;5;Madetswil/Gündisau
2022-07-01;8330;m;Markus;84;5;Pfäffikon ZH
2022-07-01;8330;m;Hans;84;5;Pfäffikon ZH
2022-07-01;8331;w;Karin;6;2;Auslikon
2022-07-01;8331;m;Peter;14;1;Auslikon
2022-07-01;8331;m;Thomas;9;2;Auslikon
2022-07-01;8331;m;Hans;7;4;Auslikon
2022-07-01;8332;m;Peter;43;2;Rumlikon/Russikon
2022-07-01;8335;w;Nicole;29;4;Hittnau
2022-07-01;8335;m;Daniel;44;3;Hittnau
2022-07-01;8340;w;Ruth;74;1;Hinwil
2022-07-01;8340;m;Daniel;94;2;Hinwil
2022-07-01;8342;w;Sandra;7;4;Wernetshausen
2022-07-01;8342;m;Thomas;16;1;Wernetshausen
